id,name,town,street,instituted_on,gender,ethnicities,closed_on,notes,
137,Commonwealth,Canton,Washington Street,12/10/1896,Women,,,,
138,St. Josephine,Dorchester,Fields Corner,1/2/9/1897,Women,,,,
139,Fr. Denvir,Beverly,Cabot St.,2/24/1897,Women,,,,
140,Angelus,Dorchester,16 River St.,3/11/1897,Women,,,,
141,St. Gertrude,Charlestown,Green Street,3/21/1897,Women,,,,
142,Lepanto,Malden,Pleasant Street,4/14/1897,Mixed,,,,
143,Our Lady of Lourdes,Jamaica Plain,Green Street,5/13/1897,Women,,,,
144,Bethlehem,Roslindale,Murray Hill Road,5/21/1897,Women,,,,
145,Norfolk,Dorchester,Washington Street,7/29/1897,Mixed,,,,
146,St. Wilhelm,Providence RI,767 Westminster St.,8/8/1897,Mixed,Largely German,,,
147,St. Helena,East Lynn,Chestnut St.,9/24/1897,Women,,,,
148,Mt. Carmel,Brockton,Main Street,1/13/1898,Women,,,,
149,General Montgomery,Lynn,Chestnut St.,2/4/1898,Men,,,,
150,St. Finbar (Cambridge),East Cambridge,249 Cambridge St.,2/7/1898,Mixed,,,,
151,Perpetual Help,Roxbury,1470 Tremont St.,2/28/1898,Women,,,,
152,General Francis Walker,North Brookfield,Summer St.,3/15/1898,Mixed,,,,
153,Fr. Thayer,Boston,97 Chamber St.,3/16/1898,Women,,,,
154,Hughes,Boston,17 Worcester Street,3/25/1898,Mixed,,,,
155,Magdalen,Dedham,High Street,4/26/1898,Women,,,,
156,Marquette,Framingham,Smith Block,7/15/1898,Mixed,,,,
157,Assumption,Malden,150 Exchange St.,8/25/1898,Women,,,,
158,St. Paula,Roxbury,214 Dudley St.,9/15/1898,Women,,,,
159,Immaculate Conception,Marlboro,195 Main St.,10/6/1898,Mixed,,,,
160,Ave Maria,Brookline,Brookline Village,11/3/1898,Women,,,,
161,Wakefield,Wakefield,Foster St.,12/21/1898,Mixed,,,,
162,Fr. Stack,Watertown,111 Watertown St.,4/23/1899,Women,,,,
163,Sancta Maria,Everett,Second Street,7/27/1899,Women,,,,
164,St. Eulalia,New Bedford,100 High Street,8/9/1899,Women,,,,
165,Lady of Victory,Fall River,South Main St.,11/28/1899,Mixed,,,,
166,St. Agatha,Sandwich,Jarvis St.,12/3/1899,Mixed,,,,
167,Pinehurst,Fitchburg,7 First St.,2/5/1900,Mixed,,,,
168,Wachusett,Leominster,Monument Square,2/5/1900,Mixed,,,,
169,Charity,Milford,204 Main St.,2/9/1900,Mixed,,,,
170,Westford,Graniteville,Broadway,2/10/1900,Mixed,,,,
171,Wannalancit,North Chelmsford,Quigley Ave.,2/19/1900,Mixed,,,,
172,St. Ambrose,West Quincy,Copeland St.,2/20/1900,Women,,,,
173,Owen A. Galvin,Charlestown,66 Main St.,4/17/1900,Men,,,,
174,St. Winifred,Chelsea,Broadway,4/17/1900,Women,,,,
175,Star of Sea,Marblehead,Atlantic Ave.,4/22/1900,Mixed,,,,
176,Montcalm,W. Gardner,Nicholas St.,5/6/1900,,,1901,,
177,Fr. Police,Boston,Tremont St.,6/4/1900,Men,,1908,,
178,Fallon,Attleboro,County St.,6/8/1900,Mixed,,,,
179,Fr. McNulty,Brockton,126 Maine St.,6/11/1900,Mixed,,,,
180,Neponset,Neponset,19 Walnut St.,8/16/1900,Men,,,,
181,St. Louise,Neponset,19 Walnut St.,10/19/1900,Women,,,,
182,Hingham,Hingham,Elm St.,4/3/1901,Mixed,,,,
183,St. Mariam,Whitman,South Ave.,6/4/1901,Women,,,,
184,St. Philip,Roxbury,Dudley St.,4/2/1901,Mixed,,,,
185,St. Stanislaus Kostka,South Boston,Dorchester Ave.,11/17/1901,Mixed,Polish,,,
186,McDermott,Springfield,Pearl St.,12/15/1901,Men,,,,
187,Blessed Sacrament,Roxbury,Columbus Ave.,1/27/1902,Women,,,,
188,Howard,Holyoke,464 High St.,3/16/1902,Women,,,,
189,Mt. Tom,Holyoke,437 High St.,3/16/1902,Men,,1903,,
190,St. Lea (Henry S. Lee),Springfield,192 Pearl Street,4/2/1902,Women,,,,
191,Fr. Roche,Abington,Center Ave.,9/19/1902,Women,,,,
192,Holy Cross,Worcester,112 Front Street,2/22/1903,Men,,,,
193,Fr. Keyes,Somerville,Highland Ave.,4/16/1903,Mixed,,,,
194,De La Salle,West Lynn,591 Boston St.,5/4/1903,Men,,,,
195,Fr. Coughlan (Mt. Auburn),Cambridge,Brattle Square,7/5/1903,Mixed,,,,
196,St. Rita,Lynn,575 Boston Street,8/4/1903,Women,,,,
197,Campello,Brockton,So Main Street,10/18/1903,Mixed,,,,
198,Dorchester,Dorchester,Dudley St.,12/9/1903,Men,,,,
199,Lowell,Lowell,212 Merrimack St.,12/13/1903,Mixed,,,,
200,Fr. Fitton,Worcester,112 Front Street,3/13/1904,Mixed,,,,
201,Fr. Thomas F. Lee,Newton Center,Cresent Ave.,10/18/1904,Mixed,,,,
202,Fr. O'Connor,Boston,17 Worcester Street,12/4/1904,Mixed,,,,
203,Rev. John F. Heffernan,Framingham,Concord St.,12/19/1904,Mixed,,,,
204,Fraternity,Boston,17 Worcester Street,3/12/1905,Mixed,,,,
205,Fr. Scully,Cambridge,698 Mass Ave.,3/19/1905,Women,,,,
206,St. Victorian,Roxbury,214 Dudley St.,3/23/1905,Mixed,,,,
207,Stoneham,Stoneham,Central Square,9/24/1905,Mixed,,1910,,
208,Fr. Thomas F. McManus,Brookline,771 Boylston St.,10/8/1905,Mixed,,,,
209,Our Lady of Mercy,Orange,North Main St.,12/17/1905,Mixed,,,,
210,Fr. Strain,Nahant,Nahant Rd.,12/29/1905,Men,,,,
211,St. Luke,Milton,Blue Hill Ave.,12/31/1905,Men,,,,
212,St. Aquinas,Holbrook,Franklin St.,5/6/1906,Mixed,,,,
213,Brammer,Taunton,Weir Village,5/20/1906,Mixed,,1910,,
214,St. Isadore,Stoneham,Main Street,8/5/1906,Mixed,,,,
215,Dr. Francis J. McQueeney,Brockton,Main Street,11/30/1906,Mixed,,,,
216,St. Mark,Dorchester,Codman Square,12/2/1906,Men,,,,
217,Clinton,Clinton,High Street,12/16/1906,Mixed,,,See #56,
218,Fr. Barry,Boston,Belvidere St.,3/12/1907,Mixed,,,,
219,St. Expedit,Swampscott,Blaney St.,3/24/1907,Mixed,,,,
220,Fr. Shahan,Manchester,1 School St.,4/12/1907,Mixed,,,,
221,Pentecost,Dorchester,Pearl St.,5/19/1907,Women,,,,
222,Fr. Doody,Cambridge,40 Prospect St.,7/17/1907,Men,,,,
223,Salve Regina,Dorchester,4 Bloomfield St.,3/1/1908,Women,,,,
224,St. Johns of the Cross,Medford,22 Harvard Ave.,3/2/1908,Mixed,,,,
225,Winchester,Winchester,Winchester Center,3/16/1908,Mixed,,,,
226,Fr. Gavin,Amherst,North Prospect St.,3/22/1908,Mixed,,,,
